25-08-15 16:24:02:110 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@395281c2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41d20f06, org.springframework.security.web.context.SecurityContextPersistenceFilter@19faedcc, org.springframework.security.web.header.HeaderWriterFilter@53ba1175, org.springframework.security.web.authentication.logout.LogoutFilter@37cfda1c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@53dba9cd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ef2cbe6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@ec5f944, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3e753289, org.springframework.security.web.session.SessionManagementFilter@7dd91ffc, org.springframework.security.web.access.ExceptionTranslationFilter@374b6e33, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5cffec7]
25-08-15 16:24:02:653 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
25-08-15 16:24:02:665 [main] INFO  n.e.journalApp.JournalAppApplication - Started JournalAppApplication in 265.151 seconds (JVM running for 266.347)
25-08-15 16:24:09:229 [main] INFO  n.e.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.8 on v2mumlp0655 with PID 13520 (D:\journalApp\target\classes started by jayesh.patil in D:\journalApp)
25-08-15 16:24:09:236 [main] DEBUG n.e.journalApp.JournalAppApplication - Running with Spring Boot v2.7.18, Spring v5.3.31
25-08-15 16:24:09:238 [main] INFO  n.e.journalApp.JournalAppApplication - The following 1 profile is active: "dev"
25-08-15 16:24:10:867 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-08-15 16:24:11:025 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 146 ms. Found 3 MongoDB repository interfaces.
25-08-15 16:24:12:236 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
25-08-15 16:24:12:253 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-08-15 16:24:12:261 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-08-15 16:24:12:261 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
25-08-15 16:24:12:518 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
25-08-15 16:24:12:519 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3149 ms
